Product_Name,Price,Includes_Kit,Condition,Is_Fullbox
Canon R50 kit trắng,15990000,True,Unknown,False
Canon R50 + Kit 15-45,13890000,True,Unknown,False
Máy ảnh Canon R50 Kit Like New,16500000,True,Like New,False
Máy ảnh Canon R50 kèm lens 18-45MM,17000000,True,Unknown,False
Máy ảnh Canon R50,16000000,False,Unknown,False
Máy ảnh Canon R50 Đen,16000000,False,Unknown,False
Máy ảnh Canon R50 18-45mm Đen,16500000,True,Unknown,False
Máy ảnh canon R50 Kit 18-45mm mới 100% chính hãng,16200000,True,New/Like New,False
Máy ảnh Canon R50 99% BH 10/2026,16700000,False,99%,False
Máy ảnh Canon R50 Đen,16000000,False,Unknown,False
Máy ảnh Canon R50 Đen,17000000,False,Unknown,False
Máy ảnh Canon R50 Đen,16800000,False,Unknown,False
Máy ảnh Canon R50 Đen,15800000,False,Unknown,False
Máy ảnh Canon R50 + Kit trắng chưa kích BH,14500000,True,Unknown,False
Máy ảnh Canon R50 Đen Mới chính hãng BH24 tháng,16700000,False,New/Like New,False
"Bộ Canon R50 mới mua, chụp 80 hình, BH 21/04/2028",16600000,False,New/Like New,False
Máy ảnh Canon R50 Đen body likenew 99%,16490000,False,Like New,False
MÁY ẢNH CANON R50 + KIT | NEW CHÍNH HÃNG,17900000,True,Official VN,False
Cần bán Canon R50,15500000,False,Unknown,False
Máy ảnh Canon R50 Đen,16500000,False,Unknown,False
Máy ảnh Canon R50 Đen,18900000,False,Unknown,False
Máy ảnh Canon R50 Đen Mới,15500000,False,New/Like New,False
Máy ảnh Canon R50 Trắng,16500000,False,Unknown,False
Canon R50 Kit 18-45mm Giá Sale Tốt - 9A Hàm Long,17490000,True,Unknown,False
Body Canon R50 Trắng,15790000,False,Unknown,False
Canon R50 Kit,16500000,True,Unknown,False
Máy ảnh Canon R50 + Kit 18-45mm 99% - BH T9/2027,17000000,True,99%,False
Máy ảnh Canon R50 18-45mm Đen,16600000,True,Unknown,False
Máy ảnh Canon R50 Đã sử dụng,19500000,False,Unknown,False
